,state,city,report_date,product_description,product_quantity,reason_for_recall,recalling_firm,recall_number
0,OR,Medford,20121107,"Harry & David Creamy Raspberry Peanut Spread, 12 oz. jars, labeled in part: ""HARRY & DAVID CREAMY RASPBERRY PEANUT SPREAD***NET WT. 12 OZ. (340g)***INGREDIENTS: ROASTED PEANUTS, SUGAR, RASPBERRY COMPOUND***MADE FOR: HARRY AND DAVID MEDFORD, OR 97501***7 80994 73872 0***""    The 12 oz. jars are sold individually and also as gift add-ons for gift baskets.     The gift baskets are listed below:    Harry & David Apple Snack Box;  Wolferman's Bee Sweet Gift Basket;  Wolferman's Hearty Snack Gift Basket;  Wolferman's All-Day Assortment Gift Basket;  Wolferman's Fathers Day Basket","15,264 - 12 oz. jars",Product received from supplier is being recalled due to the potential to be contaminated with Salmonella,"Harry and David Operations, Inc.",F-0562-2013
1,NJ,Newark,20121017,"SooNyeoWon and Jinga brand Soft Tofu 16 oz. in square, plastic containers, UPC 0 28346 07814 9 (SooNyeoWon).  Manna Organics Inc. 170 Avenue 'L', Newark, NJ 07105; MSB West, LLC 622 South Anderson Street, Los Angeles, CA 90023",2926 cases,Products have the potential to be contaminated with Listeria monocytogenes.,Manna Organics Inc,F-0101-2013
2,MA,Boston,20120905,"Costa:  1/2"" Diced Onions (Item #C228);  3/4"" Diced Onions (Item  #C244)  1/4"" Diced Onions (Item#C32)  5 lb poly bags  Packed by: Fresh Ideas Co., 18 Bunker Hill Industrial Park, Boston, MA 02129  Legal Seafood Diced Onions 1/16"" (Item #L163) 10 lb poly bag  OB Double Diced Onions 1/8"" (item #OB2), 2  lb poly tub",255 cases,Products contain recalled Gill's Onions due to Listeria monocytogenes,Fresh Ideas Inc.,F-2068-2012
3,MI,Detroit,20120711,MUFFINS CHOCOCHIPS (MEXICAN SWEET BREAD) IMPORTED BY EL CHARRO MEXICANTOWN BAKERY DETROIT MI 48210 4.0oz 24-MAY-12,6 products (Canada distribution only),"The firm recalled 26 products for undeclared allergens. This product was recalled due to undeclared milk (nonfat milk), Soy (soybean oil and soy flour), FD&C yellow #6, and wheat (flour).",Mexicantown Wholesale,F-1698-2012
4,CA,Sacramento,20120815,"Bean Dip Bowl, 20 oz, packaged under Garden Highway label.  Bean Dip snack tray, packaged under the brand names of Garden Highway  (24 oz) and Garden Highway Fresh Party Favorites 20 oz);  Bean Dip Tray under brand name of Pacific Coast Directions, 52 oz.  Manufactured by GH Foods CA LLC,  Rancho Cordova, CA.",,GH Foods CA received notification from Gills onions of a recall of onions due to Listeria Monocytogenes. GH Foods used the recalled onions in numerous product.,GH Foods CA LLC,F-1892-2012
5,AZ,Scottsdale,20120801,"Wellements Baby Move Prune Concentrate with Prebiotics, 4oz., 12 units per case, SKU# 141161, UPC 729609019878.","66,965 units","Wellements is recalling Wellements Baby Move Prune Concentrate, 4oz. because they have confirmed that their supplier of the ingredient galacto-oligosaccharide which is used in the Baby Move product may be contaminated Salmonella.","Wellements, LLC",F-1799-2012
6,NM,Portales,20121031,"Sunland Natural Peanut Butter Crunchy Valencia No Stir, 16 oz, UPC 4868787906, Gluten Free, Produced by Sunland Inc, Portales, NM 88130.","13,592 x 6 x 16 oz","Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.","Sunland, Incorporated",F-0366-2013
7,WI,River Falls,20120718,"Sienna Bakery¿ White Chocolate Macadamia Nut Gourmet Cookies, UPC 093901201706, NET WT /PESO NETO 54 OZ (3.38 LB) 1.52 kg, 40 Count Thaw & Serve, INGREDIENTS: ENRICHED WHEAT FLOUR, CHOCOLATE FLAKES (SUGAR, COCOA, BUTTER, WHOLE MILK POWDER, SKIM MILK POWDER, MILK FAT, SOY LECITHIN ADDED AS EMULSIFIER, VANILLA EXTRACT), BROWN SUGAR, WHITE SUGAR, WHITE CHUNK ( SUGAR, PARTIALLY HYDROGENATED PALM KERNEL AND PALM OILS, NONFAT DRY MILK, BUTTERFAT, SOY LECITHIN, ADDED AS EMULSIFIER, SALT AND ARTIFICIAL FLAVORING ADDED) BUTTER, WHOLE EGGS, MARGARINE(PARTIALLY HYDROGENATED SOYBEAN AND COTTONSEED OILS, WATER, SALT, BUTTERMILK, LECITHIN, VEGETABLE MONO AND DIGLYCERIDES, SORBIC ACID & SODIUM BENZOATE ADDED AS PRESERVATIVE ARTIFICIALLY FLAVORED, ARTIFICIALLY COLORED WITH BETA CAROTENE, VITAMIN A PALMITATE ADDED), M ACADEMIA NUTS, INVERT SUGAR, VANILLA (WATER, ETHYL ALCOHOL, CARMEL COLOR) , SALT, SODA BICARBONATE, CARMEL COLOR.), CONTAINS: WHEAT, MILK, EGG TREE NUT (MACADAMIA), SOY, Distributed by / Distribuido por Gordon Food Services, Grand Rapids, MI 49548","77 master cases, each containing 6 retail boxes","Best Maid Cookie Company is voluntarily recalling Sienna Bakery¿ Oatmeal Walnut Raisin and Sienna Bakery¿ White Chocolate Macadamia Nut cookies due to a potential mis-pack, resulting in an undeclared allergen. Oatmeal Walnut Raisin cookies may have been inadvertently packed in White Chocolate Macadamia Nut retail boxes.  Oatmeal Walnut Raisin cookies contain walnuts which are NOT declared on the W","Minnesota Best Maid Cookie Co, Inc.",F-1753-2012
8,WI,Milwaukee,20120919,"Acme Creamed Cabbage, Net Wt. 16 oz., UPC 0 11596 14025 1",756 LBS,"Recalled salads, slaw, salsa, bean and dips contained onions that were recalled by Gills Onions due to potential Listeria monocytogenes contamination.","Garden-Fresh Foods, Inc.",F-2171-2012
9,NM,Portales,20121031,"Sunland Organic Valencia Peanut Butter, Creamy Dark Chocolate, 12 oz, UPC 4868754810, produced by Sunland Inc, Portales, NM 88130.",101 x 12 oz,"Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.","Sunland, Incorporated",F-0406-2013
